30024;CAFE ARLISTAN 100 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
40946;CAFE PLANTA DE CAFE REGULAR 170 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
40947;CAFE PLANTA DE CAFE SUAVE 170 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
40948;CAFE PLANTA DE CAFE SUAVE 100 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
110013;CAFE NESCAFE Descafeina 100 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
110021;CAFE NESCAFE EXPRESSO 100 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
110041;CAFE NESCAFE Clasico 170 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
110042;CAFE NESCAFE LATA Clasico 120 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
110176;CAFE DOLCA SUAVE 50 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
110177;CAFE DOLCA SUAVE 100 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
110179;CAFE DOLCA SUAVE 170 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
110192;CAFE DOLCA RENOVADO 50 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
110193;CAFE DOLCA RENOVADO 100 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
110194;CAFE DOLCA RENOVADO 170 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
110326;CAFE DOLCA SUAVE D/P 170 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
110327;CAFE DOLCA TRADIC D/P 170 Grs;Alimentos;Cafe;Instantaneo;280600281174;278873768022;278873800790;;;
